tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0130785,movie,A IncubaÃ§Ã£o Artificial,A IncubaÃ§Ã£o Artificial,0,1933,,,Documentary
tt0131040,tvMovie,Ein StÃ¼ck vom GlÃ¼ck,Ein StÃ¼ck vom GlÃ¼ck,0,1987,,,
tt0134743,movie,Daughter of the Jungle,Incontro nell'ultimo paradiso,0,1982,,92,"Adventure,Comedy"
tt0135555,movie,Modern Minstrels,Modern Minstrels,0,1930,,,Musical
tt0137230,movie,The 4 Stairs,Ta tessera skalopatia,0,1951,,98,"Comedy,Drama,Romance"
tt0137859,movie,Justine,Justine,0,1967,,76,Drama
tt0075319,movie,Let's Leave the War in Peace,Tengamos la guerra en paz,0,1977,,,Comedy
tt0075543,tvSeries,The New Adventures of Batman,The New Adventures of Batman,0,1977,1978,30,"Action,Adventure,Animation"
tt0078555,movie,The Border Crossing,Der Ãœbergang,0,1978,,97,Drama
tt0079124,movie,"Eva, Julia, Perla","Eva, Julia, Perla",0,1979,,,
